"SID #","Last Name","First Name","Middle Initial","Entry Questionnaire on file (Y,N)","Equal Opportunity Statement on file (Y,N)","FERPA on file (Y,N)","Vet Documentation on file if applicable (Y,N)","Home Phone","Cell Phone","Email 1","Email 2","Program Name","Program Length (6 months,1 year,etc.)","Program Structure (Stacked, Latticed, N/A)","Start Quarter of Participant (1-16)","How many Prior Learning Credits awarded?","Participant has High School Equivalent (Y,N)","Currently Employed (Incumbent) (Y,N)","Current Employer Name","Employment Start Date","Is this incumbent job associated with program of study? (Y,N)","Current Incumbent Wage (Total over 6 months)","Identified as Basic Skills Deficient (comp study) (Y,N)","I-Best Student (Y,N)",Birthdate,"Gender (F,M,O)","Disabled Status (Y,N)","Veteran Status (No,Active,Guard,reserve,Discharged)","Ethnicity (Use Drop Down)","Full (12 Cr or more) Part (11 Cr or less) (Full,Part)","TAA Eligible (Y,N,O (I do not know))","Pell Grant Eligible (Y,N,O (I do not know))","Foreign Student (Y,N)"
0888333222,Test,Tina,J,Y,Y,Y,,2553332222,,tostrander@greenriver.edu,,abc,,,,,,"Employed (Full Time)","Green River College",05/2014,,,,,07/27/1968,F,N,Y,"Indian or Alaskan Native",Full,N,N,
0840528782,Gregg,SAPP,E,Y,Y,Y,,253-856-9595,,gsapp@greenriver.edu,,"AAM - Machine Maintenance 1 (Certificate)",,,,,,"Employed (Full Time)","Green River College",04/2015,,,,,11/06/1957,M,N,N,White,Part,N,N,
8888888888,Ostrander,Tina,J,Y,Y,Y,,333-444-5555,,tostrander@greenriver.edu,,"BUS - Management & Supervision (Certificate) & ABC",,,,,,Unemployed,"Tina J Ostrander",,,,,,07/27/1968,F,N,N,"Black or African American",Full,Y,Y,
123456876543,last,first,,Y,Y,Y,,43735235325,,testingtest@mail.com,,"BUS - Management & Supervision (Certificate)",,,,,,"Freelance (contract)",,,,,,,06/01/1980,M,Y,Y,"Indian or Alaskan Native",Part,O,N,
31532647432,Shakespeare,William,,Y,Y,Y,,12345678909,,moretesting@mail.com,,"BUS - Marketing and Sales (Certificate)",,,,,,"Employed (Full Time)",,,,,,,06/08/1950,M,N,N,White,Part,O,O,
87654234576,Smith,John,,Y,Y,Y,,234567890,,testemail@email.com,,"BUS - Business Foundations (Certificate) & BUS - Retail Management (Certificate)",,,,,,Unemployed,,,,,,,04/03/1982,M,N,N,"Indian or Alaskan Native",Part,N,Y,
1234567890,Ball,Alex,A,Y,Y,Y,,253-569-9448,,aball6@mail.greenriver.edu,,test,,,,,,Intern,,,,,,,07/08/1994,M,N,N,White,Full,O,O,
0840502569,Ball,Alex,A,Y,Y,Y,,253-569-9448,,aball6@mail.greenriver.edu,,"BAS Software Development",,,,,,Unemployed,,,,,,,07/08/1994,M,N,N,White,Full,O,O,
314159265359,Newtron,Jimmie,G,Y,Y,Y,,1-800-tacoshack,,Boygenius@cartoons.space,,"BUS - Bachelor of Applied Sciences (Degree)",,,,,,Unemployed,,,,,,,01/15/2007,M,Y,N,White,Full,O,O,
0084056978,Baskerville,Hounds,O,Y,Y,Y,,253-687-6748,,sherlock42@earthlink.net,,"Private Detective",,,,,,Intern,"The Queen of England",10/1885,,,,,10/18/1901,M,Y,N,White,Full,O,O,
0840502538,Ball,Phillip,W,Y,Y,Y,,2068596800,,pokemon1997@hotmail.com,,"BUS - Management & Supervision (Certificate)",,,,,,"Freelance (contract)",,,,,,,12/03/1997,M,N,N,Asian,Full,Y,O,
0999526785,Harlan,Debbie,S,Y,Y,Y,,4252282493,,ak7s@gmail.com,,"AAM - Machine Maintenance 1 (Certificate)",,,,,,Unemployed,,,,,,,05/13/1990,O,N,Y,Other,Part,O,O,
8400325678,Ball,Christopher,A,Y,Y,Y,,253-735-6385,,cdapj@hotmail.com,,"BUS - Customer Services Representative (Certificate)",,,,,,"Employed (Full Time)","Iron Mountain",11/1999,,,,,10/07/1970,M,N,N,White,Part,N,N,
0084002832,Ball,Deborah,L,Y,Y,Y,,253-735-2075,,cdapjball@hotmail.com,,"Professional TV Watcher",,,,,,"Employed (Part Time)","The Papertree",03/2014,,,,,06/01/1971,F,Y,N,"More than One Race",Full,O,O,
